produto;instituição;Valor Mínimo;Rentabilidade;Valor Líquido;Rating do Emissor;Vencimento;Liquidez;Taxa;Detalhes
CDB;BANCO XP;R$ 1,00;2,91%;R$ 1,03;Sem Rating;30 dias;Diária;400,0% CDI;LCI/LCA 310.0% CDI
Debênture;GPA;R$ 886,60;94,93%;R$ 1.728,28;Sem Rating;1533 dias;No ;CDI + 7,6%;LCI/LCA CDI + 6.46%
Debênture;KORA SAUDE PARTICIPACOES S.A;R$ 948,49;103,61%;R$ 1.931,21;Sem Rating;1890 dias;;CDI + 5,0%;LCI/LCA CDI + 4.25%
Debênture;KORA SAUDE PARTICIPACOES S.A;R$ 948,49;103,61%;R$ 1.931,21;Sem Rating;1890 dias;;CDI + 5,0%;LCI/LCA CDI + 4.25%
Debênture;KORA SAUDE PARTICIPACOES S.A;R$ 948,49;103,61%;R$ 1.931,21;Sem Rating;1890 dias;;CDI + 5,0%;LCI/LCA CDI + 4.25%
Debênture;MAGAZINE LUIZA S/A;R$ 978,38;42,63%;R$ 1.395,46;Sem Rating;959 dias;;CDI + 5,0%;LCI/LCA CDI + 4.25%
Debênture;MAGAZINE LUIZA S/A;R$ 978,38;42,63%;R$ 1.395,46;Sem Rating;959 dias;;CDI + 5,0%;LCI/LCA CDI + 4.25%
Debênture;MAGAZINE LUIZA S/A;R$ 978,38;42,63%;R$ 1.395,46;Sem Rating;959 dias;;CDI + 5,0%;LCI/LCA CDI + 4.25%
Debênture;QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.;R$ 988,87;54,01%;R$ 1.522,93;Sem Rating;1190 dias;;CDI + 4,65%;LCI/LCA CDI + 3.95%
Debênture;QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.;R$ 988,87;54,01%;R$ 1.522,93;Sem Rating;1190 dias;;CDI + 4,65%;LCI/LCA CDI + 3.95%
Debênture;QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.;R$ 988,87;54,01%;R$ 1.522,93;Sem Rating;1190 dias;;CDI + 4,65%;LCI/LCA CDI + 3.95%
Debênture;ALUBAR METAIS E CABOS S/A;R$ 1.045,98;51,61%;R$ 1.585,81;Sem Rating;1197 dias;;CDI + 4,0%;LCI/LCA CDI + 3.4%
Debênture;ALUBAR METAIS E CABOS S/A;R$ 1.045,98;51,61%;R$ 1.585,81;Sem Rating;1197 dias;;CDI + 4,0%;LCI/LCA CDI + 3.4%
