Produto;Instituição;Valor Mínimo;Rentabilidade;Valor Líquido;Rating do Emissor;Vencimento;Liquidez;Taxa;Detalhes
CDB;BANCO XP;R$ 1,00;2,91%;R$ 1,03;Sem Rating;30 dias;Diária;400,0% CDI;LCI/LCA 310.0% CDI
Debênture;GPA;R$ 895,01;92,59%;R$ 1.723,70;Sem Rating;1531 dias;No Vencimento;CDI + 7,3%;LCI/LCA CDI + 6.21%
Debênture;KORA SAUDE PARTICIPACOES S.A;R$ 948,97;103,49%;R$ 1.931,10;Sem Rating;1889 dias;Vencimento;CDI + 5,0%;LCI/LCA CDI + 4.25%
Debênture;KORA SAUDE PARTICIPACOES S.A;R$ 948,97;103,49%;R$ 1.931,10;Sem Rating;1889 dias;Vencimento;CDI + 5,0%;LCI/LCA CDI + 4.25%
Debênture;KORA SAUDE PARTICIPACOES S.A;R$ 948,97;103,49%;R$ 1.931,10;Sem Rating;1889 dias;Vencimento;CDI + 5,0%;LCI/LCA CDI + 4.25%
Debênture;MAGAZINE LUIZA S/A;R$ 978,95;42,55%;R$ 1.395,51;Sem Rating;958 dias;Vencimento;CDI + 5,0%;LCI/LCA CDI + 4.25%
Debênture;MAGAZINE LUIZA S/A;R$ 978,95;42,55%;R$ 1.395,51;Sem Rating;958 dias;Vencimento;CDI + 5,0%;LCI/LCA CDI + 4.25%
Debênture;MAGAZINE LUIZA S/A;R$ 978,95;42,55%;R$ 1.395,51;Sem Rating;958 dias;Vencimento;CDI + 5,0%;LCI/LCA CDI + 4.25%
Debênture;QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.;R$ 990,16;53,71%;R$ 1.521,96;Sem Rating;1189 dias;Vencimento;CDI + 4,6%;LCI/LCA CDI + 3.91%
Debênture;QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.;R$ 990,16;53,71%;R$ 1.521,96;Sem Rating;1189 dias;Vencimento;CDI + 4,6%;LCI/LCA CDI + 3.91%
Debênture;QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.;R$ 990,16;53,71%;R$ 1.521,96;Sem Rating;1189 dias;Vencimento;CDI + 4,6%;LCI/LCA CDI + 3.91%
Debênture;ALUBAR METAIS E CABOS S/A;R$ 1.046,59;51,53%;R$ 1.585,91;Sem Rating;1196 dias;Vencimento;CDI + 4,0%;LCI/LCA CDI + 3.4%
Debênture;ALUBAR METAIS E CABOS S/A;R$ 1.046,59;51,53%;R$ 1.585,91;Sem Rating;1196 dias;Vencimento;CDI + 4,0%;LCI/LCA CDI + 3.4%
Debênture;ALUBAR METAIS E CABOS S/A;R$ 1.046,59;51,53%;R$ 1.585,91;Sem Rating;1196 dias;Vencimento;CDI + 4,0%;LCI/LCA CDI + 3.4%
CRA;MAESTRO;R$ 1.014,83;100,09%;R$ 2.030,56;Sem Rating;1754 dias;No Vencimento;CDI + 3,95%;CDB CDI + 4.65%
CRA;MAESTRO;R$ 1.017,17;99,63%;R$ 2.030,57;Sem Rating;1750 dias;No Vencimento;CDI + 3,95%;CDB CDI + 4.65%
CDB;PICPAY;R$ 1,00;27,09%;R$ 1,27;Sem Rating;721 dias;Vencimento;114,0% CDI;LCI/LCA 96.9% CDI
CDB;BANCO MASTER DE INVESTIME;R$ 1.000,00;110,90%;R$ 2.109,01;Sem Rating;2190 dias;No Vencimento;132,0% CDI;LCI/LCA 112.2% CDI
Debênture;BRASKEM;R$ 968,69;102,73%;R$ 1.963,82;Sem Rating;2083 dias;No Vencimento;CDI + 3,4%;LCI/LCA CDI + 2.89%
Debênture;BRASKEM;R$ 973,75;90,21%;R$ 1.852,17;Sem Rating;1902 dias;No Vencimento;CDI + 3,4%;LCI/LCA CDI + 2.89%
CDB;BANCO MASTER DE INVESTIME;R$ 1.000,00;84,59%;R$ 1.845,86;Sem Rating;1825 dias;No Vencimento;131,0% CDI;LCI/LCA 111.35% CDI
LFSN;BANCO BMG;R$ 322.972,49;101,09%;R$ 649.450,83;B+ FITCH;2077 dias;No Vencimento;CDI + 3,3%;LCI/LCA 2.8% CDI
CRA;MADERO;R$ 1.041,04;117,61%;R$ 2.265,40;Sem Rating;2068 dias;Vencimento;CDI + 3,25%;CDB CDI + 3.82%
CRA;MADERO;R$ 1.041,04;117,61%;R$ 2.265,40;Sem Rating;2068 dias;Vencimento;CDI + 3,25%;CDB CDI + 3.82%
CRA;MADERO;R$ 1.041,04;117,61%;R$ 2.265,40;Sem Rating;2068 dias;Vencimento;CDI + 3,25%;CDB CDI + 3.82%
CDB;BANCO MASTER DE INVESTIME;R$ 1.000,00;62,44%;R$ 1.624,37;Sem Rating;1460 dias;No Vencimento;130,0% CDI;LCI/LCA 110.5% CDI
CDB;BANCO MASTER DE INVESTIME;R$ 1.000,00;108,33%;R$ 2.083,33;Sem Rating;2190 dias;No Vencimento;130,0% CDI;LCI/LCA 110.5% CDI
CDB;PICPAY;R$ 1,00;11,75%;R$ 1,12;Sem Rating;361 dias;Vencimento;110,0% CDI;LCI/LCA 90.75% CDI
Debênture;BRASKEM;R$ 986,25;98,24%;R$ 1.955,13;Sem Rating;2079 dias;No Vencimento;CDI + 3,0%;LCI/LCA CDI + 2.55%
Debênture;BRASKEM;R$ 990,46;86,35%;R$ 1.845,69;Sem Rating;1898 dias;No Vencimento;CDI + 3,0%;LCI/LCA CDI + 2.55%
Debênture;SIMPAR;R$ 1.032,99;194,57%;R$ 3.042,84;Sem Rating;3220 dias;No Vencimento;CDI + 3,0%;LCI/LCA CDI + 2.55%
Debênture;SIMPAR;R$ 1.035,22;193,97%;R$ 3.043,20;Sem Rating;3216 dias;No Vencimento;CDI + 3,0%;LCI/LCA CDI + 2.55%
