Produto;Instituição;Valor Mínimo;Rentabilidade;Valor Líquido;Rating do Emissor;Vencimento;Liquidez;Taxa;Detalhes
ATIVO REAL;INVESTCINE THE SUMMER BOOK (CINEC124);R$ 10.000,00;38,63%;R$ 13.863,29;Sem Rating;395 dias;No Vencimento;349,23% CDI;LCI/LCA 288.11% CDI
ATIVO REAL;SUPER FEDERAL PREFERENCIAL HONORÁRIOS ACIDENTE E14/S1;R$ 100.000,00;80,55%;R$ 180.549,53;Sem Rating;730 dias;No Vencimento;328,85% CDI;LCI/LCA 279.52% CDI
ATIVO REAL;SUPER FEDERAL PREFERENCIAL HONORÁRIOS ACIDENTE E14/S2;R$ 25.000,00;73,01%;R$ 43.252,37;Sem Rating;730 dias;No Vencimento;305,84% CDI;LCI/LCA 259.96% CDI
ATIVO REAL;CARTEIRA MISTA DE PRECATÓRIOS;R$ 5.000,00;60,10%;R$ 8.005,20;Sem Rating;699 dias;No Vencimento;242,21% CDI;LCI/LCA 199.82% CDI
ATIVO REAL;ROYALTIES MUSICAIS RAIZ SERTANEJA - E24;R$ 10.000,00;57,57%;R$ 15.757,19;Sem Rating;1095 dias;No Vencimento;170,15% CDI;LCI/LCA 144.63% CDI
Debênture;GPA;R$ 1.003,43;31,73%;R$ 1.321,82;Sem Rating;758 dias;No Vencimento;CDI + 5,3%;LCI/LCA CDI + 4.5%
ATIVO REAL;MINI CRA GREEN FARMING;R$ 10.000,00;49,48%;R$ 14.948,07;Sem Rating;1095 dias;No Vencimento;16,50%PRÉ;LCI/LCA 14.03% PRÉ
ATIVO REAL;RENDA FIXA SUPER FEDERAL HONORÁRIOS ACIDENTE E20/S1;R$ 10.000,00;29,86%;R$ 12.986,04;Sem Rating;730 dias;No Vencimento;IPCA +12,0%;LCI/LCA IPCA + 10.2%
Debênture;KORA SAUDE PARTICIPACOES S.A;R$ 966,56;96,01%;R$ 1.894,57;Sem Rating;1847 dias;Vencimento;CDI + 5,0%;LCI/LCA CDI + 4.25%
Debênture;KORA SAUDE PARTICIPACOES S.A;R$ 966,56;96,01%;R$ 1.894,57;Sem Rating;1847 dias;Vencimento;CDI + 5,0%;LCI/LCA CDI + 4.25%
Debênture;KORA SAUDE PARTICIPACOES S.A;R$ 966,56;96,01%;R$ 1.894,57;Sem Rating;1847 dias;Vencimento;CDI + 5,0%;LCI/LCA CDI + 4.25%
Debênture;QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.;R$ 1.006,01;49,81%;R$ 1.507,14;Sem Rating;1147 dias;Vencimento;CDI + 4,7%;LCI/LCA CDI + 4.0%
Debênture;QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.;R$ 1.006,01;49,81%;R$ 1.507,14;Sem Rating;1147 dias;Vencimento;CDI + 4,7%;LCI/LCA CDI + 4.0%
Debênture;QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.;R$ 1.006,01;49,81%;R$ 1.507,14;Sem Rating;1147 dias;Vencimento;CDI + 4,7%;LCI/LCA CDI + 4.0%
Debênture;MAGAZINE LUIZA S/A;R$ 1.004,63;37,42%;R$ 1.380,52;Sem Rating;916 dias;Vencimento;CDI + 4,5%;LCI/LCA CDI + 3.82%
