Player;Season;Club;Comp;App;GS;Ass;MoM;AvP;YC;RC;Position
Vinícius JÚNIOR;6;Atlanta United;Divisão 1;22 (0);5;15;5;7.73;5;1;AM(L),F(LC)
Vinícius JÚNIOR;5;Santos FC;Divisão 1;28 (0);6;15;3;7.54;3;1;AM(L),F(LC)
Vinícius JÚNIOR;4;Flamengo;Divisão 1;26 (1);7;7;2;6.78;3;0;AM(L),F(LC)
Vinícius JÚNIOR;3;Flamengo;Divisão 1;1 (0);0;0;0;7.00;1;0;AM(L),F(LC)
Vinícius JÚNIOR;3;Corinthians;Divisão 1;17 (6);4;3;0;6.78;3;1;AM(L),F(LC)
Vinícius JÚNIOR;2;Atlanta United;Divisão 1;26 (0);8;7;3;7.08;5;0;AM(L),F(LC)
Vinícius JÚNIOR;1;Atlanta United;Divisão 1;21 (0);10;13;4;7.62;4;0;AM(L),F(LC)
Rúben DIAS;3;Atlanta United;Divisão 1;26 (0);0;4;0;7.04;1;1;D(C)
Rúben DIAS;2;Atlanta United;Divisão 1;27 (0);1;0;1;6.89;4;0;D(C)
Rúben DIAS;1;Atlanta United;Divisão 1;19 (0);0;0;0;7.00;1;0;D(C)
Antoine GRIEZMANN;9;River Plate;Divisão 1;20 (1);9;1;5;7.38;2;0;AM,F(RLC)
Antoine GRIEZMANN;8;River Plate;Divisão 1;21 (1);7;5;5;7.32;5;0;AM,F(RLC)
Antonio RÜDIGER;7;Independiente;Divisão 1;20 (4);1;2;1;7.04;3;1;D(RC)
John STONES;3;Boca Juniors;Divisão 2;9 (0);1;0;0;7.11;1;1;D(RC),DM(C)
Leroy SANÈ;11;Independiente;Divisão 1;0 (0);0;0;0;0.00;0;0;AM(RLC),F(RL)
Leroy SANÈ;10;Independiente;Divisão 1;23 (0);4;9;5;7.39;3;0;AM(RLC),F(RL)
Leroy SANÈ;9;Independiente;Divisão 2;29 (0);16;22;9;8.17;3;0;AM(RLC),F(RL)
Leroy SANÈ;7;São Paulo FC;Divisão 1;27 (0);4;10;5;7.30;1;0;AM(RLC),F(RL)
Martin ODEGAARD;9;São Paulo FC;Divisão 1;24 (0);12;8;3;7.67;6;1;M,AM(C)
Martin ODEGAARD;8;Tigres UANL;Divisão 1;20 (0);4;1;2;7.15;3;0;M,AM(C)
Martin ODEGAARD;7;Tigres UANL;Divisão 2;20 (0);7;8;1;7.90;4;0;M,AM(C)
Martin ODEGAARD;6;River Plate;Divisão 1;27 (0);5;4;2;7.37;3;0;M,AM(C)
Martin ODEGAARD;5;River Plate;Divisão 1;25 (0);3;5;2;7.12;3;0;M,AM(C)
Martin ODEGAARD;4;River Plate;Divisão 1;24 (1);7;3;2;7.12;6;1;M,AM(C)
Martin ODEGAARD;3;Palmeiras;Divisão 1;17 (0);0;6;0;6.53;0;0;M,AM(C)
Martin ODEGAARD;2;Palmeiras;Divisão 2;21 (0);8;7;1;7.90;3;0;M,AM(C)
Martin ODEGAARD;1;Palmeiras;Divisão 2;22 (0);5;5;2;7.32;1;0;M,AM(C)
Nicolò BARELLA;9;Pachuca;Divisão 2;14 (0);2;2;0;6.50;1;0;DM,M,AM(C)
Nicolò BARELLA;8;Colo-Colo;Divisão 2;19 (0);6;2;2;7.79;1;1;DM,M,AM(C)
Lautaro MARTÍNEZ;9;Atlanta United;Divisão 1;26 (0);14;5;7;7.50;2;1;F(C)
Lautaro MARTÍNEZ;7;Vélez Sársfield;Divisão 2;11 (0);3;5;5;7.82;2;0;F(C)
Víctor OSIMHEN;9;Cruz Azul;Divisão 2;19 (0);5;9;6;7.95;3;0;F(C)
Víctor OSIMHEN;8;Vélez Sársfield;Divisão 2;14 (1);9;5;5;8.00;0;0;F(C)
Víctor OSIMHEN;7;Peñarol;Divisão 2;23 (1);15;8;3;8.04;6;1;F(C)
Víctor OSIMHEN;6;Peñarol;Divisão 2;18 (0);11;8;5;7.94;2;0;F(C)
Víctor OSIMHEN;5;Nacional;Divisão 2;18 (0);5;4;1;6.39;2;0;F(C)
Víctor OSIMHEN;4;Cruz Azul;Divisão 2;17 (0);3;3;1;5.82;2;0;F(C)
Víctor OSIMHEN;3;Cruz Azul;Divisão 2;28 (0);10;6;4;7.71;1;0;F(C)
Víctor OSIMHEN;2;Independiente;Divisão 1;20 (0);3;1;0;6.45;2;0;F(C)
Phil FODEN;7;Corinthians;Divisão 2;24 (0);13;3;6;8.33;0;1;M(C),AM,F(RLC)
Phil FODEN;6;Corinthians;Divisão 2;28 (1);7;4;2;7.14;3;1;M(C),AM,F(RLC)
Phil FODEN;5;Corinthians;Divisão 1;28 (0);4;5;3;6.96;1;0;M(C),AM,F(RLC)
Phil FODEN;4;Corinthians;Divisão 1;25 (0);1;0;0;6.48;5;1;M(C),AM,F(RLC)
Phil FODEN;3;Flamengo;Divisão 1;27 (1);4;1;1;6.86;3;1;M(C),AM,F(RLC)
Phil FODEN;2;Flamengo;Divisão 2;8 (2);5;1;2;7.60;0;0;M(C),AM,F(RLC)
Phil FODEN;1;Flamengo;Divisão 2;7 (0);2;1;0;7.14;3;0;M(C),AM,F(RLC)
Declan RICE;11;Peñarol;Divisão 2;17 (1);6;0;3;7.22;1;0;DM,M(C)
Declan RICE;10;Orlando City SC;Divisão 1;21 (0);5;2;3;7.29;4;0;DM,M(C)
Declan RICE;9;Orlando City SC;Divisão 2;24 (0);1;0;0;6.71;1;0;DM,M(C)
Declan RICE;5;Palmeiras;Divisão 1;25 (0);3;1;2;7.04;4;0;DM,M(C)
Declan RICE;4;Palmeiras;Divisão 1;24 (0);0;2;0;6.21;3;0;DM,M(C)
Declan RICE;2;Corinthians;Divisão 1;13 (0);2;0;1;6.69;4;0;DM,M(C)
Rafael LEÃO;9;Estudiantes de LP;Divisão 2;21 (0);6;13;3;7.76;1;1;AM(L),F(LC)
Rafael LEÃO;8;Palmeiras;Divisão 1;26 (0);16;5;9;7.50;2;0;AM(L),F(LC)
Rafael LEÃO;7;Atlanta United;Divisão 1;24 (0);5;11;3;7.42;5;0;AM(L),F(LC)
